,주택(건),Z값,온실(㎡),Z값,소상공인(건),인구수(건),우심피해액 (원)
합계,,,,,,"3,229,061","38,407,080,000"
서구,,,,,,"103,188",4284446000
동구,,,,,,"85,911",0
영도구,,,,,,"103,737",0
부산진구,,,,,,"359,281",0
동래구,,,,,,"274,370",0
남구,,,,,,"254,498",0
북구,,,,,,"267,692",0
해운대구,,,,,,"376,404",4423969000
사하구,,,,,,"292,491",19179818000
금정구,,,,,,"209,932",0
강서구,,,,,,"142,789",0
연제구,,,,,,"212,589",0
수영구,,,,,,"171,918",3396165000
사상구,,,,,,"198,635",0
기장군,,,,,,"175,626",7122682000
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
