,주택(건),Z값,온실(㎡),Z값,소상공인(건),인구수(건),우심피해액 (원)
합계,,,,,,"2,531,384","909,063,639,000"
포항시,,,,,,"491,581",226241791000
경주시,,,,,,"244,769",138457463000
김천시,,,,,,"135,446",3436966000
안동시,,,,,,"153,159",21034408000
구미시,,,,,,"404,820",0
영주시,,,,,,"98,870",48693227000
영천시,,,,,,"98,143",0
상주시,,,,,,"91,850",8003789000
문경시,,,,,,"67,257",58450515000
경산시,,,,,,"266,398",0
의성군,,,,,,"48,690",8141354000
청송군,,,,,,"23,716",13268740000
영양군,,,,,,"15,328",8801807000
영덕군,,,,,,"33,210",51884282000
청도군,,,,,,"40,582",0
고령군,,,,,,"30,062",0
성주군,,,,,,"41,452",6570248000
칠곡군,,,,,,"107,383",3380059000
예천군,,,,,,"54,609",98590836000
봉화군,,,,,,"28,836",89504585000
울진군,,,,,,"46,124",73502205000
울릉군,,,,,,"9,099",51101364000
