,주택(건),Z값,온실(㎡),Z값,소상공인(건),인구수(건),우심피해액 (원)
합계,,,,,,"3,228,380","249,963,640,000"
창원시,,,,,,"999,858",80051181000
진주시,,,,,,"338,785",0
통영시,,,,,,"118,481",13363480000
사천시,,,,,,"108,504",0
김해시,,,,,,"531,676",7423933000
밀양시,,,,,,"100,691",0
거제시,,,,,,"232,972",27538734000
양산시,,,,,,"359,531",35225272000
의령군,,,,,,"25,150",4050730000
함안군,,,,,,"58,842",0
창녕군,,,,,,"56,085",0
고성군,,,,,,"48,005",0
남해군,,,,,,"39,832",6168473000
하동군,,,,,,"40,765",13870263000
산청군,,,,,,"33,259",6321815000
함양군,,,,,,"36,131",12625893000
거창군,,,,,,"59,588",12683179000
합천군,,,,,,"40,225",30640687000
