,가입가구,대상가구,가입률퍼센트,가입률Z값,온실(㎡),Z값,소상공인(건),인구수(건),우심피해액 (원)
합계,"16,676",-,,-,157537,,987,"3,021,010","7,094,173,000"
강화군,518,-,0.017859682,-0.277,43592,0,45,"69,402","7,094,173,000"
옹진군,376,-,0.07102236,2.151,16887,0,25,"19,996",0
중구,2886,-,0.058688624,1.588,-,0,100,"167,113",0
동구,86,-,0.003865596,-0.916,-,0,12,"58,296",0
남구,2062,-,0.012312319,-0.530,-,0,422,"412,274",0
연수구,1760,-,0.012982152,-0.500,234,0,36,"400,213",0
남동구,3112,-,0.016271473,-0.349,33248,0,102,"486,225",0
부평구,286,-,0.001295956,-1.034,-,0,89,"493,200",0
계양구,3151,-,0.029437192,0.252,63080,0,42,"280,227",0
서구,2439,-,0.015489281,-0.385,496,0,114,"634,064",0
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,144,,,,583,,5,,
,258.911587,,,,417,,2.602981023,,
