,주택(건),Z값,온실(㎡),Z값,소상공인(건),인구수(건),우심피해액 (원)
합계,,,,,,"13,694,685","606,480,331,000"
수원시,,,,,,"1,193,005",0
성남시,,,,,,"913,009",13612336000
의정부시,,,,,,"461,271",0
안양시,,,,,,"556,492",4950785000
부천시,,,,,,"769,918",0
광명시,,,,,,"278,167",0
평택시,,,,,,"598,556",101158688000
동두천시,,,,,,"86,838",0
안산시,,,,,,"620,579",0
고양시,,,,,,"1,070,120",0
과천시,,,,,,"85,512",0
구리시,,,,,,"186,882",0
남양주시,,,,,,"732,482",0
오산시,,,,,,"242,065",0
시흥시,,,,,,"518,132",0
군포시,,,,,,"255,931",0
의왕시,,,,,,"154,488",4656591000
하남시,,,,,,"329,120",0
용인시,,,,,,"1,085,864",46318749000
파주시,,,,,,"511,308",6918271000
이천시,,,,,,"222,443",47816640000
안성시,,,,,,"193,949",140159421000
김포시,,,,,,"486,853",0
화성시,,,,,,"968,821",73485486000
광주시,,,,,,"397,605",25207367000
양주시,,,,,,"289,005",0
포천시,,,,,,"141,463",4453804000
여주시,,,,,,"114,610",30028046000
연천군,,,,,,"40,866",38812721000
가평군,,,,,,"62,527",15157527000
양평군,,,,,,"126,804",53743899000
