,주택(건),Z값,온실(㎡),Z값,소상공인(건),인구수(건),우심피해액 (원)
합계,"19,872,674",,"535,170,000",,"6,134,000",51217221,"3,832,574,034,000"
서울,"3,170,332",1.7396,"1,070,000",-0.9125,"1,129,695",9331828,"62,957,545,000"
부산,"1,350,452",0.1577,"6,350,000",-0.7541,"387,676",3266598,"38,407,080,000"
대구,"903,591",-0.2307,"10,220,000",-0.638,"276,398",2363629,"10,466,506,000"
인천,"1,152,762",-0.0141,"4,360,000",-0.8138,"317,120",3021010,"7,094,173,000"
광주,"567,994",-0.5224,"6,110,000",-0.7613,"168,977",1408422,"39,388,062,000"
대전,"523,823",-0.5608,"1,760,000",-0.8918,"166,043",1439157,"8,316,896,000"
울산,"411,508",-0.6584,"2,310,000",-0.8753,"112,699",1098049,"63,766,579,000"
세종,"158,283",-0.8785,"1,670,000",-0.8945,"34,871",390685,"24,214,245,000"
경기,"4,962,282",3.2972,"64,530,000",0.9917,"1,545,567",13694685,"606,480,331,000"
강원,"684,430",-0.4212,"34,890,000",0.1023,"207,379",1517766,"257,019,364,000"
충북,"685,622",-0.4201,"29,230,000",-0.0675,"200,949",1591177,"489,178,074,000"
충남,"948,183",-0.1919,"76,840,000",1.3611,"277,909",2136574,"490,378,348,000"
전북,"773,649",-0.3436,"52,510,000",0.631,"244,122",1738690,"253,852,424,000"
전남,"846,848",-0.28,"51,820,000",0.6103,"244,948",1788819,"290,002,431,000"
경북,"1,128,786",-0.0349,"87,690,000",1.6866,"332,885",2531384,"909,063,639,000"
경남,"1,341,627",0.1501,"101,170,000",2.0911,"390,057",3228380,"249,963,640,000"
제주,"262,502",-0.7879,"2,640,000",-0.8654,"96,705",670368,"32,024,697,000"
,,,,,,51217221,
평균,"1,168,981",,"31,480,588",,"360,824",,
표준편차,1150478.565737,,33326117.909953,,375853.114309,,
