lookup_key,연도,지역단계,시도,지역명,인사이트유형,지표ID,지표명,대시보드_표시명,대시보드_현재선택지표,분석인사이트,데이터주의사항
2024|전국||전국|overall,2024,전국,,전국,종합,overall,종합 인사이트,,N,"2024년 파일에는 17개 시도 데이터가 있으며 인구 합계는 51,217,221명, 우심피해액 합계는 3.83조 원이다. 인구 상위 3개 지역은 경기·서울·부산이며, 이들 지역에 51.3%가 집중된다. 피해액 상위 3개 지역은 경북·경기·충남이며, 이들 지역에 52.3%가 집중된다. 1인당 피해액은 경북·충북·충남 순으로 높아 절대 규모와 인구 대비 부담을 함께 확인해야 한다.",2024년 주택 값은 인구주택총조사의 주택 수이며 보험가입 건수가 아니다. 우심피해액은 2024년 단년값이 아니라 2015~2024년 누계다. 2024년 시도별 소상공인 값은 전체 사업체 비중으로 배분한 추정치다.
2024|전국||전국|damage,2024,전국,,전국,원지표,damage,우심피해액,우심피해액(원),Y,"전국 우심피해액 합계는 3.83조 원이다. 상위 3개 지역은 경북·경기·충남이며, 이들 지역이 전체의 52.3%를 차지한다. 전국 평균 1인당 피해액은 74,830원이다.",우심피해액은 2024년 단년값이 아니라 2015~2024년 누계다.
2024|전국||전국|population,2024,전국,,전국,원지표,population,인구수,인구수(건),Y,"전국 인구 합계는 51,217,221명이다. 상위 3개 지역은 경기·서울·부산이며, 이들 지역이 전체의 51.3%를 차지한다. 시도 평균 인구는 3,012,778명이다.",
2024|전국||전국|housing,2024,전국,,전국,원지표,housing,주택 지표,주택 보험 가입 현황(건),Y,"전국 주택 지표 합계는 19,872,674건이다. 상위 3개 지역은 경기·서울·부산이며, 이들 지역이 전체의 47.7%를 차지한다. 인구 1천 명당 값은 388.01건이다.",2024년 주택 값은 인구주택총조사의 주택 수이며 보험가입 건수가 아니다.
2024|전국||전국|damagePerCapita,2024,전국,,전국,파생지표,damagePerCapita,1인당 우심피해액,,N,"전국 평균 1인당 우심피해액은 74,830원이다. 시도별로는 경북 359,117원, 충북 307,432원, 충남 229,516원 순으로 높다.",우심피해액은 2024년 단년값이 아니라 2015~2024년 누계다.
2024|전국||전국|housingPer1000,2024,전국,,전국,파생지표,housingPer1000,인구 1천 명당 주택 지표,,N,"전국 인구 1천 명당 주택 지표는 388.01건이다. 시도별 상위는 전남 473.41건, 강원 450.95건, 경북 445.92건이다.",2024년 주택 값은 인구주택총조사의 주택 수이며 보험가입 건수가 아니다.
2024|전국||전국|damagePerHousing,2024,전국,,전국,파생지표,damagePerHousing,주택 지표 1건당 우심피해액,,N,"전국 주택 지표 1건당 누적 우심피해액의 단순 비율은 192,856원이다. 시도별 상위는 경북, 충북, 충남 순이다.",2024년 주택 값은 인구주택총조사의 주택 수이며 보험가입 건수가 아니다. 우심피해액은 2024년 단년값이 아니라 2015~2024년 누계다. 피해액과 주택 지표의 기준기간·정의가 다를 수 있어 공식 손해율이나 보험보장공백률이 아닌 탐색적 비율이다.
2024|전국||전국|greenhouse,2024,전국,,전국,원지표,greenhouse,온실 면적,,N,"전국 온실 면적 합계는 535,170,000㎡다. 상위 3개 지역은 경남·경북·충남이며, 이들 지역이 전체의 49.6%를 차지한다. 인구 1명당 면적은 10.45㎡다.",
2024|전국||전국|smallbiz,2024,전국,,전국,원지표,smallbiz,소상공인,,N,"전국 소상공인 지표 합계는 6,134,000건이다. 상위 3개 지역은 경기·서울·경남이며, 이들 지역이 전체의 50.0%를 차지한다. 인구 1천 명당 값은 119.76건이다.",2024년 시도별 소상공인 값은 전체 사업체 비중으로 배분한 추정치다.
2024|시도|서울|서울|overall,2024,시도,서울,서울,종합,overall,종합 인사이트,,N,"2024년 서울의 인구는 9,331,828명으로 17개 시도 중 2위다. 우심피해액은 629.6억 원(10위)이고, 1인당 피해액은 6,747원(14위)이며 피해비중은 인구비중의 0.09배다. 인구 규모 대비 피해 부담은 매우 낮게 나타난다. 주택 수는 2위이고 인구 1천 명당 339.73건으로 시도 평균 407.27건과 비교해 낮다.",2024년 주택 값은 인구주택총조사의 주택 수이며 보험가입 건수가 아니다. 우심피해액은 2024년 단년값이 아니라 2015~2024년 누계다. 2024년 시도별 소상공인 값은 전체 사업체 비중으로 배분한 추정치다.
