년도,시도,총 가입건수,주택 가입건수,온실 가입가구수,온실 가입면적(제곱미터)
2017,서울,7367,7367,0,0
2017,부산,18049,17990,59,157779
2017,대구,8492,8490,2,378
2017,인천,3297,3265,32,29342
2017,광주,12504,12500,4,10730
2017,대전,10977,10913,64,175171
2017,울산,18823,18820,3,2440
2017,세종,2822,2665,157,455341
2017,경기,75546,74916,630,2192915
2017,강원,23454,22114,1340,1927861
2017,충북,18655,18558,97,185287
2017,충남,36062,33331,2731,6271850
2017,전북,50719,50203,516,1414595
2017,전남,55421,55146,275,430413
2017,경북,35690,35597,93,181533
2017,경남,39119,38198,921,1484117
2017,제주,8666,7956,710,1465239
