년도,시도,총 가입건수,주택 가입건수,온실 가입가구수,온실 가입면적(제곱미터),소상공인 가입건수
2018,서울,4791,4780,11,6180,0
2018,부산,20805,20554,249,191795,2
2018,대구,8360,8340,18,6071,2
2018,인천,2713,2685,18,17740,10
2018,광주,15084,15069,11,14727,4
2018,대전,10289,9941,345,248851,3
2018,울산,10647,10597,5,2272,45
2018,세종,721,708,13,1390,0
2018,경기,52159,50470,1680,4923110,9
2018,강원,19972,16331,3614,4062991,27
2018,충북,17268,17026,181,332892,61
2018,충남,39941,38772,1162,3264734,7
2018,전북,48681,48002,668,1879981,11
2018,전남,59298,58985,312,381323,1
2018,경북,30001,29595,344,709419,62
2018,경남,41559,40626,870,1667925,63
2018,제주,4822,4485,337,1178241,0
