,주택(건),Z값,온실(㎡),Z값,소상공인(건),인구수(건),우심피해액 (원)
합계,,,,,,"2,136,574","490,378,348,000"
천안시,,,,,,"659,920",59202196000
공주시,,,,,,"101,285",58123895000
보령시,,,,,,"93,780",17451574000
아산시,,,,,,"355,014",20816595000
서산시,,,,,,"174,445",0
논산시,,,,,,"108,529",68236081000
계룡시,,,,,,"46,540",16105400000
당진시,,,,,,"171,931",5162660000
금산군,,,,,,"49,615",45712526000
부여군,,,,,,"59,550",83979303000
서천군,,,,,,"48,204",28393055000
청양군,,,,,,"29,658",62965722000
홍성군,,,,,,"99,198",0
예산군,,,,,,"78,772",24229341000
태안군,,,,,,"60,133",0
