,주택(건),Z값,온실(㎡),Z값,소상공인(건),인구수(건),우심피해액 (원)
합계,,,,,,"1,517,766","257,019,364,000"
춘천시,,,,,,"286,069",5302373000
원주시,,,,,,"362,164",0
강릉시,,,,,,"207,731",13847976000
동해시,,,,,,"87,675",3415517000
태백시,,,,,,"37,936",0
속초시,,,,,,"80,933",6163862000
삼척시,,,,,,"61,735",37899779000
홍천군,,,,,,"66,717",16052810000
횡성군,,,,,,"46,111",23961321000
영월군,,,,,,"36,721",4026418000
평창군,,,,,,"40,396",4817905000
정선군,,,,,,"33,515",0
철원군,,,,,,"40,497",60853743000
화천군,,,,,,"22,922",11683719000
양구군,,,,,,"20,621",9209560000
인제군,,,,,,"31,535",20821217000
고성군,,,,,,"26,999",19422375000
양양군,,,,,,"27,489",19540789000
