,가입가구,온실(㎡),Z값,소상공인(건),인구수(건),우심피해액 (원)
합계,"16,117",110149,,1074,"3,021,010","7,094,173,000"
강화군,487,37587,0.894235992,56,"69,402","7,094,173,000"
옹진군,723,4354,-1.016014228,94,"19,996",0
중구,2923,-,0,122,"167,113",0
동구,96,-,0,59,"58,296",0
남구,1369,-,0,376,"412,274",0
연수구,1327,234,-1.252833983,44,"400,213",0
남동구,2865,24041,0.115604828,119,"486,225",0
부평구,142,-,0,63,"493,200",0
계양구,3046,43933,1.259007391,46,"280,227",0
서구,3139,-,0,95,"634,064",0
,,,,,,
,,,,,,
,,,,,,
,144,583,,5,,
,258.911587,417,,2.602981023,,
