,주택(건),Z값,온실(㎡),Z값,소상공인(건),인구수(건),우심피해액 (원)
합계,,,,,,"1,788,819","290,002,431,000"
목포시,,,,,,"209,890",0
여수시,,,,,,"267,816",3451984000
순천시,,,,,,"276,329",3794198000
나주시,,,,,,"116,654",15444232000
광양시,,,,,,"154,692",6469647000
담양군,,,,,,"44,623",50596222000
곡성군,,,,,,"26,566",29515729000
구례군,,,,,,"24,025",41870137000
고흥군,,,,,,"60,190",2458737000
보성군,,,,,,"37,045",2810638000
화순군,,,,,,"60,735",13502642000
장흥군,,,,,,"34,451",10938273000
강진군,,,,,,"32,189",11251647000
해남군,,,,,,"63,120",20560374000
영암군,,,,,,"51,391",10612170000
무안군,,,,,,"92,687",0
함평군,,,,,,"30,010",7552173000
영광군,,,,,,"52,098",9149135000
장성군,,,,,,"42,026",24830730000
완도군,,,,,,"45,631",7170181000
진도군,,,,,,"28,478",6892792000
신안군,,,,,,"38,173",11130790000
