,주택(건),Z값,온실(㎡),Z값,소상공인(건),인구수(건),우심피해액 (원)
합계,,,,,,"9,331,828","62,957,545,000"
종로구,,,,,,"138,336",0
중구,,,,,,"120,544",0
용산구,,,,,,"203,854",0
성동구,,,,,,"273,669",0
광진구,,,,,,"331,963",0
동대문구,,,,,,"338,735",0
중랑구,,,,,,"379,274",0
성북구,,,,,,"421,560",0
강북구,,,,,,"283,597",0
도봉구,,,,,,"303,228",0
노원구,,,,,,"491,247",0
은평구,,,,,,"460,919",0
서대문구,,,,,,"302,853",0
마포구,,,,,,"361,417",0
양천구,,,,,,"430,976",0
강서구,,,,,,"556,171",0
구로구,,,,,,"388,169",5463774000
금천구,,,,,,"225,159",0
영등포구,,,,,,"373,773",11137351000
동작구,,,,,,"375,799",12297075000
관악구,,,,,,"477,812",11902639000
서초구,,,,,,"408,376",16452700000
강남구,,,,,,"557,345",5704006000
송파구,,,,,,"650,110",0
강동구,,,,,,"476,942",0
