,대상가구,가입가구,가입률퍼센트,가입률Z값,온실(㎡),Z값,소상공인(건),인구수(건),우심피해액 (원)
합계,1967156,626699,0.318581241,,"7,320",,"17,983",51217221,3.83E+12
서울,139878,39687,0.283725818,-0.2021,900,2.519,"1,210",9331828,62957545000
부산,92841,38966,0.419706811,0.2051,800,1.9824,"1,110",3266598,38407080000
대구,66468,4743,0.071357646,-0.8381,700,1.4458,"1,321",2363629,"10,466,506,000"
인천,64437,16676,0.258795413,-0.2767,600,0.9091,"2,121",3021010,"7,094,173,000"
광주,66649,29917,0.448873952,0.2925,550,0.6408,"1,215",1408422,"39,388,062,000"
대전,50904,3211,0.063079522,-0.8629,500,0.3725,"1,321",1439157,"8,316,896,000"
울산,35191,55101,1.565769657,3.6373,450,0.1042,"5,454",1098049,"63,766,579,000"
세종,9658,1735,0.179643819,-0.5138,400,-0.1641,44,390685,"24,214,245,000"
경기,310112,99139,0.319687726,-0.0944,350,-0.4325,554,13694685,"606,480,331,000"
강원,167024,19523,0.116887393,-0.7628,300,-0.7008,215,1517766,"257,019,364,000"
충북,123145,11881,0.09647976,0.0885,290,-0.7544,213,1591177,"489,178,074,000"
충남,138493,52731,0.380748485,0.3286,280,-0.8081,"2,132",2136574,"490,378,348,000"
전북,115504,58612,0.50744563,-0.2827,270,-0.8618,215,1738690,"253,852,424,000"
전남,137372,63321,0.460945462,0.0728,260,-0.9154,215,1788819,"290,002,431,000"
경북,193770,49759,0.256794137,-0.5576,240,-1.0228,215,2531384,"909,063,639,000"
경남,187662,70468,0.375504897,-0.7017,220,-1.1301,213,3228380,"249,963,640,000"
제주,68048,11229,0.165015871,0.4679,210,-1.1838,215,670368,"32,024,697,000"
,,,,,,,,51217221,
평균,"2,492",,,,431,,"1,457",,
표준편차,3124.132878,,,,186.3464515,,1450.80731,,
,,,,,,,,,
,,,,,,,,,
,,-0.7975,,,,,,,
