,주택(건),Z값,온실(㎡),Z값,소상공인(건),인구수(건),,,
합계,"35,833",,"7,320",,"17,983",48539570,,,
서울,"9,200",2.1473,900,2.5190,"1,210",9299548,,,
부산,"1,320",-0.3750,800,1.9824,"1,110",3207383,,,
대구,680,-0.5799,700,1.4458,"1,321",2136753,,,
인천,700,-0.5735,600,0.9091,"2,121",2506526,,,
광주,750,-0.5575,550,0.6408,"1,215",1091948,,,
대전,"1,321",-0.3747,500,0.3725,"1,321",1392013,,,
울산,844,-0.5274,450,0.1042,"5,454",664792,,,
세종,765,-0.5527,400,-0.1641,44,391965,,,
경기,"8,215",1.8320,350,-0.4325,554,13730135,,,
강원,"1,121",-0.4387,300,-0.7008,215,1440729,,,
충북,"1,012",-0.4736,290,-0.7544,213,1508500,,,
충남,"1,065",-0.4566,280,-0.8081,"2,132",1779135,,,
전북,985,-0.4822,270,-0.8618,215,1595502,,,
전남,"1,245",-0.3990,260,-0.9154,215,1724856,,,
경북,"2,456",-0.0114,240,-1.0228,215,2353032,,,
경남,"3,512",0.3266,220,-1.1301,213,3051961,,,
제주,642,-0.5920,210,-1.1838,215,664792,,,
,,,,,,48539570,,,
평균,"2,492",,431,,"1,457",,,,
표준편차,3124.132878,,186.3464515,,1450.80731,,,,
,,,,,,,,,
,,,,,,,,,
,,-0.7975,,,,,,,
